Is given in 2011EUR/GJ was converted in 2011 USD  to EUR and from 2012 to 2011 using the british consumer price index. After 2030  linear interpolation based on growth rate between 2011 and 2030 in the medium trend. Low case scenario stable continuation of low trend., , ,
Time,Low,Central,High
2011,6.1337281391,6.1337281391,6.1337281391
2012,5.5223986354,6.496939571,7.4714805067
2013,5.3286311836,7.2868612059,9.2255027287
2014,5.1348637317,8.0767828408,9.4425175987
2015,4.9410962799,8.1488536615,9.664638701
2016,4.7473288281,8.2216174709,9.8922307665
2017,4.5535613763,7.9256284194,10.125293795
2018,4.3597939245,7.6296393679,10.3634630557
2019,4.3597939245,7.6296393679,10.6071032796
2020,4.3597939245,7.6296393679,10.8569439284
2021,4.3597939245,7.6296393679,10.8994848112
2022,4.3597939245,7.6296393679,10.8994848112
2023,4.3597939245,7.6296393679,10.8994848112
2024,4.3597939245,7.6296393679,10.8994848112
2025,4.3597939245,7.6296393679,10.8994848112
2026,4.3597939245,7.6296393679,10.8994848112
2027,4.3597939245,7.6296393679,10.8994848112
2028,4.3597939245,7.6296393679,10.8994848112
2029,4.3597939245,7.6296393679,10.8994848112
2030,4.3597939245,7.6296393679,10.8994848112
2031,4.3597939245,7.7083715378,10.9782169811
2032,4.3597939245,7.7871037077,11.056949151
2033,4.3597939245,7.8658358777,11.1356813209
2034,4.3597939245,7.9445680476,11.2144134908
2035,4.3597939245,8.0233002175,11.2931456607
2036,4.3597939245,8.1020323875,11.3718778306
2037,4.3597939245,8.1807645574,11.4506100005
2038,4.3597939245,8.2594967273,11.5293421704
2039,4.3597939245,8.3382288973,11.6080743403
2040,4.3597939245,8.4169610672,11.6868065102
2041,4.3597939245,8.4956932371,11.7655386801
2042,4.3597939245,8.5744254071,11.84427085
2043,4.3597939245,8.653157577,11.9230030199
2044,4.3597939245,8.7318897469,12.0017351898
2045,4.3597939245,8.8106219169,12.0804673597
2046,4.3597939245,8.8893540868,12.1591995296
2047,4.3597939245,8.9680862567,12.2379316995
2048,4.3597939245,9.0468184267,12.3166638694
2049,4.3597939245,9.1255505966,12.3953960393
2050,4.3597939245,9.2042827665,12.4741282092
2051,4.3597939245,9.2830149364,12.5528603791
2052,4.3597939245,9.3617471064,12.631592549
2053,4.3597939245,9.4404792763,12.7103247189
2054,4.3597939245,9.5192114462,12.7890568888
2055,4.3597939245,9.5979436162,12.8677890587
2056,4.3597939245,9.6766757861,12.9465212286
2057,4.3597939245,9.7554079561,13.0252533985
2058,4.3597939245,9.834140126,13.1039855684
2059,4.3597939245,9.9128722959,13.1827177383
2060,4.3597939245,9.9916044659,13.2614499082
2061,4.3597939245,10.0703366358,13.3401820781
2062,4.3597939245,10.1490688057,13.418914248
2063,4.3597939245,10.2278009757,13.4976464179
2064,4.3597939245,10.3065331456,13.5763785878
2065,4.3597939245,10.3852653156,13.6551107577
2066,4.3597939245,10.4639974856,13.7338429277
2067,4.3597939245,10.5427296556,13.8125750977
2068,4.3597939245,10.6214618256,13.8913072677
2069,4.3597939245,10.7001939956,13.9700394377
2070,4.3597939245,10.7789261656,14.0487716077
2071,4.3597939245,10.8576583356,14.1275037777
2072,4.3597939245,10.9363905056,14.2062359477
2073,4.3597939245,11.0151226756,14.2849681177
2074,4.3597939245,11.0938548456,14.3637002877
2075,4.3597939245,11.1725870156,14.4424324577
2076,4.3597939245,11.2513191856,14.5211646277
2077,4.3597939245,11.3300513556,14.5998967977
2078,4.3597939245,11.4087835256,14.6786289677
2079,4.3597939245,11.4875156956,14.7573611377
2080,4.3597939245,11.5662478656,14.8360933077
2081,4.3597939245,11.6449800356,14.9148254777
2082,4.3597939245,11.7237122056,14.9935576477
2083,4.3597939245,11.8024443756,15.0722898177
2084,4.3597939245,11.8811765456,15.1510219877
2085,4.3597939245,11.9599087156,15.2297541577
2086,4.3597939245,12.0386408856,15.3084863277
2087,4.3597939245,12.1173730556,15.3872184977
2088,4.3597939245,12.1961052256,15.4659506677
2089,4.3597939245,12.2748373956,15.5446828377
2090,4.3597939245,12.3535695656,15.6234150077
2091,4.3597939245,12.4323017356,15.7021471777
2092,4.3597939245,12.5110339056,15.7808793477
2093,4.3597939245,12.5897660756,15.8596115177
2094,4.3597939245,12.6684982456,15.9383436877
2095,4.3597939245,12.7472304156,16.0170758577
2096,4.3597939245,12.8259625856,16.0958080277
2097,4.3597939245,12.9046947556,16.1745401977
2098,4.3597939245,12.9834269256,16.2532723677
2099,4.3597939245,13.0621590956,16.3320045377
2100,4.3597939245,13.1408912656,16.4107367077
2101,4.3597939245,13.2196234356,16.4894688777
2102,4.3597939245,13.2983556056,16.5682010477
2103,4.3597939245,13.3770877756,16.6469332177
2104,4.3597939245,13.4558199456,16.7256653877
2105,4.3597939245,13.5345521156,16.8043975577
2106,4.3597939245,13.6132842856,16.8831297277
2107,4.3597939245,13.6920164556,16.9618618977
2108,4.3597939245,13.7707486256,17.0405940677
2109,4.3597939245,13.8494807956,17.1193262377
2110,4.3597939245,13.9282129656,17.1980584077
2111,4.3597939245,14.0069451356,17.2767905777
